INCLUIR_S_N,MOTIVO_EXCLUSAO,PRIORIDADE,titulo,ano,fonte,citacoes,doi,abstract_curto,abstract,soja,DECISAO,JUSTIFICATIVA
,,ALTA,Global de-trending significantly improves the accuracy of XGBoost-based county-level maize and soybean yield prediction in the Midwestern United States,2024,GIScience & Remote Sensing,32,10.1080/15481603.2024.2349341,"The application of machine learning in crop yield prediction has gained considerable traction, yet uncertainties persist regarding the impact of the yield trends on these predictions and the differences between the detrending methods. In our study, we utilized extreme gradient boosting (XGBoost) to scrutinize the effec...","The application of machine learning in crop yield prediction has gained considerable traction, yet uncertainties persist regarding the impact of the yield trends on these predictions and the differences between the detrending methods. In our study, we utilized extreme gradient boosting (XGBoost) to scrutinize the effects of no trend processing (NTP), input year as a feature (IYF), input average yield as a feature (IAYF), input linear yield as a feature (ILYF), and the global detrending method (GDT) on the yield prediction of maize and soybean in the Midwestern United States. Based on our findings, compared with that of NTP, the incorporation of the yield trend as a predictor in XGBoost significantly improved the accuracy and reduced the uncertainty of the yield prediction. Notably, GDT emerged as a standout performer, significantly reducing the average yield prediction error by 0.091 t/ha for soybean and 0.158 t/ha for maize with respect to NTP, and concurrently improving the determination coefficient (R2) by 20.6% and 19.6% for soybean and maize, respectively. Compared with IYF, IAYF, and ILYF, GDT showed substantial improvements ranging from 3.8% to 12.7% in R2 for soybean and 3.6% to 12.7% for maize. The SHapley Additive ExPlanations (SHAP) framework showed that the enhanced vegetation index (EVI), particularly during the soybean podding and maize dough formation stages, played a crucial role in understanding the variations in interannual yield variability. These findings confirmed the importance of GDT in crop yield prediction via machine learning and could be used to facilitate future advancements in machine learning applications for yield forecasting.",titulo,S,"nucleo: soja como cultura-alvo, previsao com ML"
,,ALTA,"3D-ResNet-BiLSTM Model: A Deep Learning Model for County-Level Soybean Yield Prediction with Time-Series Sentinel-1, Sentinel-2 Imagery, and Daymet Data",2023,Remote Sensing,32,10.3390/rs15235551,"Ensuring food security in precision agriculture requires early prediction of soybean yield at various scales within the United States (U.S.), ranging from international to local levels. Accurate yield estimation is essential in preventing famine by providing insights into food availability during the growth season. Num...","Ensuring food security in precision agriculture requires early prediction of soybean yield at various scales within the United States (U.S.), ranging from international to local levels. Accurate yield estimation is essential in preventing famine by providing insights into food availability during the growth season. Numerous deep learning (DL) algorithms have been developed to estimate soybean yield effectively using time-series remote sensing (RS) data to achieve this goal. However, the training data with short time spans can limit their ability to adapt to the dynamic and nuanced temporal changes in crop conditions. To address this challenge, we designed a 3D-ResNet-BiLSTM model to efficiently predict soybean yield at the county level across the U.S., even when using training data with shorter periods. We leveraged detailed Sentinel-2 imagery and Sentinel-1 SAR images to extract spectral bands, key vegetation indices (VIs), and VV and VH polarizations. Additionally, Daymet data was incorporated via Google Earth Engine (GEE) to enhance the model’s input features. To process these inputs effectively, a dedicated 3D-ResNet architecture was designed to extract high-level features. These enriched features were then fed into a BiLSTM layer, enabling accurate prediction of soybean yield. To evaluate the efficacy of our model, its performance was compared with that of well-known models, including the Linear Regression (LR), Random Forest (RF), and 1D/2D/3D-ResNet models, as well as a 2D-CNN-LSTM model. The data from a short period (2019 to 2020) were used to train all models, while their accuracy was assessed using data from the year 2021. The experimental results showed that the proposed 3D-Resnet-BiLSTM model had a superior performance compared to the other models, achieving remarkable metrics (R2 = 0.791, RMSE = 5.56 Bu Ac−1, MAE = 4.35 Bu Ac−1, MAPE = 9%, and RRMSE = 10.49%). Furthermore, the 3D-ResNet-BiLSTM model showed a 7% higher R2 than the ResNet and RF models and an enhancement of 27% and 17% against the LR and 2D-CNN-LSTM models, respectively. The results highlighted our model’s potential for accurate soybean yield predictions, supporting sustainable agriculture and food security.",titulo,S,"nucleo: soja como cultura-alvo, previsao com ML"
,,ALTA,Soya Yield Prediction on a Within-Field Scale Using Machine Learning Models Trained on Sentinel-2 and Soil Data,2022,Remote Sensing,30,10.3390/rs14092256,Agriculture is the backbone and the main sector of the industry for many countries in the world. Assessing crop yields is key to optimising on-field decisions and defining sustainable agricultural strategies. Remote sensing applications have greatly enhanced our ability to monitor and manage farming operation. The main...,"Agriculture is the backbone and the main sector of the industry for many countries in the world. Assessing crop yields is key to optimising on-field decisions and defining sustainable agricultural strategies. Remote sensing applications have greatly enhanced our ability to monitor and manage farming operation. The main objective of this research was to evaluate machine learning system for within-field soya yield prediction trained on Sentinel-2 multispectral images and soil parameters. Multispectral images used in the study came from ESA’s Sentinel-2 satellites. A total of 3 cloud-free Sentinel-2 multispectral images per year from specific periods of vegetation were used to obtain the time-series necessary for crop yield prediction. Yield monitor data were collected in three crop seasons (2018, 2019 and 2020) from a number of farms located in Upper Austria. The ground-truth database consisted of information about the location of the fields and crop yield monitor data on 411 ha of farmland. A novel method, namely the Polygon-Pixel Interpolation, for optimal fitting yield monitor data with satellite images is introduced. Several machine learning algorithms, such as Multiple Linear Regression, Support Vector Machine, eXtreme Gradient Boosting, Stochastic Gradient Descent and Random Forest, were compared for their performance in soya yield prediction. Among the tested machine learning algorithms, Stochastic Gradient Descent regression model performed better than the others, with a mean absolute error of 4.36 kg/pixel (0.436 t/ha) and a correlation coefficient of 0.83%.",titulo,S,"nucleo: soja como cultura-alvo, previsao com ML"
,,ALTA,"Using phenology-based enhanced vegetation index and machine learning for soybean yield estimation in Paraná State, Brazil",2018,Journal of Applied Remote Sensing,29,10.1117/1.jrs.12.026029,Accurate and timely regional estimates of agricultural production are key for decision makers. This study aims to understand how different machine learning techniques impact soybean yield estimation in extracting maximum information from remotely sensed MODIS enhanced vegetation index (EVI) that is constrained by pheno...,"Accurate and timely regional estimates of agricultural production are key for decision makers. This study aims to understand how different machine learning techniques impact soybean yield estimation in extracting maximum information from remotely sensed MODIS enhanced vegetation index (EVI) that is constrained by phenology. Specifically, a methodology is developed for incorporating phenological information aligned with EVI acquisition for each pixel and selecting the most significant predictors out of 36 predictors using feature selection. These predictors were then used in four machine learning algorithms (MLA) to obtain soybean yield estimates for observed farms in the Paraná State, Brazil. The optimal MLA was then implemented for the whole state to obtain regional soybean yield. The gradient boosting model (GBM) with all 36 predictors performed well with a mean difference of 3.5 kg ha − 1, an RMSD of 373 kg ha − 1, and Willmott’s d of 0.85, however, the random forest (RF) algorithm using five optimal EVI predictors presented similar results, but with considerably less computational time. Both GBM and RF provided higher regional yields compared to the officially reported yields by 1775 × 103 and 2059 × 103 metric tons, respectively. The RF with five EVI predictors provided the best results for regional soybean estimations, considering the accuracy and computational performances.",titulo,S,"nucleo: soja como cultura-alvo, previsao com ML"
,,ALTA,Critical evaluation of the effects of a cross-validation strategy and machine learning optimization on the prediction accuracy and transferability of a soybean yield prediction model using UAV-based remote sensing,2024,Journal of Agriculture and Food Research,28,10.1016/j.jafr.2024.101096,Crop yield prediction models are critical tools for evaluating growth performance and informing decisions during farm management. Developing yield prediction models that are robust not only in the ranges of the model spatial domain but also in additional locations using a data-driven approach is challenging. The main o...,"Crop yield prediction models are critical tools for evaluating growth performance and informing decisions during farm management. Developing yield prediction models that are robust not only in the ranges of the model spatial domain but also in additional locations using a data-driven approach is challenging. The main objective of this study was to investigate an appropriate cross-validation (CV) strategy for establishing transferable UAV-based yield prediction models across different spatial domains (i.e., meeting extrapolation mapping objectives). In this study, we compared three data splitting procedures for the CV protocols, including random data splitting (random CV), cluster-based spatial splitting (spatial CV), and field-specific hold-out data splitting (leave-one-field-out CV). Model optimization was also examined to determine whether these factors affect the transferability of the yield model, including performing recursive feature elimination (RFE) and comparing the effects of algorithms utilized in the yield prediction model. Three base learner algorithms, namely, random forest, XGBoost, and LASSO regression, were utilized, and a stacked ensemble technique model formed with these base learners was also implemented. The established models were later tested on an independent field as a test dataset to evaluate the model transferability performance. Random CV exhibited poor error tracking performance in predicting yield beyond the model spatial domain, while spatial CV and leave-one-field-out CV approaches provided better expectation on yield predictions outside the model's training spatial domain. Furthermore, simple models as implementing LASSO regression and RFE improved the model capability in extrapolation tasks. The results of this study suggest that spatially-aware CV should be used as the standard method rather than conventional random CV for validating the yield model to ensure a more realistic and reliable yield model in extrapolation objectives.",titulo,N,"escala de parcela (UAV/sensor proximal), nao regional"
,,ALTA,Machine learning algorithms for soybean yield forecasting in the Brazilian Cerrado,2021,Journal of the Science of Food and Agriculture,27,10.1002/jsfa.11713,"Abstract BACKGROUND We evaluated different machine learning (ML) models for predicting soybean productivity up to 1 month in advance for the Matopiba agricultural frontier (States of Maranhão, Tocantins, Piauí, and Bahia). We collected meteorological data on the NASA‐POWER platform and soybean yield on the SIDRA/IBGE b...","Abstract BACKGROUND We evaluated different machine learning (ML) models for predicting soybean productivity up to 1 month in advance for the Matopiba agricultural frontier (States of Maranhão, Tocantins, Piauí, and Bahia). We collected meteorological data on the NASA‐POWER platform and soybean yield on the SIDRA/IBGE base between 2008 and 2017. The ML models evaluated were random forest (RF), artificial neural networks, radial base support vector machines (SVM_RBF), linear model and polynomial regression. To assess the performance of the models, cross‐validation was used, obtaining the value of precision by R 2 , accuracy by root mean square error (RMSE), and trend by the mean error of the estimate (EME). RESULTS The results showed that the RF algorithm achieves the highest precision and accuracy, with R 2 of 0.81, RMSE of 176.93 kg ha −1 and trend (EME) of 1.99 kg ha −1 . On the other hand, the SVM_RBF algorithm showed the lowest performance, with R 2 of 0.74, RMSE of 213.58 kg ha −1 and EME of −15.06 kg ha −1 . The average yield values predicted by the models were within the expected range for the region, which has a historical average value of 2.730 kg ha −1 . CONCLUSION All models had acceptable precision, accuracy and trend indices, which makes it possible to use all algorithms to be applied in the prediction of soybean crop yield, observing the particularities of the region to be studied, in addition to being a useful tool for agricultural planning and decision making in soy‐producing regions such as the Brazilian Cerrado. © 2021 Society of Chemical Industry.",titulo,S,"nucleo: soja como cultura-alvo, previsao com ML"
,,ALTA,Artificial intelligence and satellite‐based remote sensing can be used to predict soybean (<i>Glycine max</i>) yield,2023,Agronomy Journal,22,10.1002/agj2.21473,"Abstract Because the manual counting of soybean ( Glycine max ) plants, pods, and seeds/pods is unsuitable for soybean yield predictions, alternative methods are desired. Therefore, the objective was to determine if satellite remote sensing‐based artificial intelligence (AI) models could be used to predict soybean yiel...","Abstract Because the manual counting of soybean ( Glycine max ) plants, pods, and seeds/pods is unsuitable for soybean yield predictions, alternative methods are desired. Therefore, the objective was to determine if satellite remote sensing‐based artificial intelligence (AI) models could be used to predict soybean yield. In the study, multiple remote sensing‐based AI models were developed for soybean growth stage ranging from VE/VC (plant emergence) to R6/R7 (full seed to beginning maturity). The ability of the deep neural network (DNN), support vector machine (SVM), random forest (RF), least absolute shrinkage and selection operator (LASSO), and AdaBoost to predict soybean yield, based on blue, green, red, and near‐infrared reflectance data collected by the PlanetScope satellite at six growth stages, was determined. Remote sensing and soybean yield monitor data from three different fields in 2 years (2019 and 2021) were aggregated into 24,282 grid cells that had the dimensions of 10 m by 10 m. A comparison across models showed that the DNN outperformed the other models. Moreover, as crops matured from VE/VC to R4/R5, the R 2 value of the models increased from 0.26 to over 0.70. These findings indicate that remote sensing data collected at different growth stages can be combined for soybean yield predictions. Moreover, additional work needs to be conducted to assess the model's ability to predict soybean yield with vegetation indices (VIs) data for fields not used to train the model.",titulo,S,"nucleo: soja como cultura-alvo, previsao com ML"
,,ALTA,Soybean yield prediction using machine learning algorithms under a cover crop management system,2024,Smart Agricultural Technology,19,10.1016/j.atech.2024.100442,This research explores the predictive capabilities of random forests algorithm on datasets coming from standard experiments on crop management systems in soybeans. This is a secondary analysis of a dataset from a project evaluating the relationship of cover crop systems to soybean yield prediction. The purpose of this ...,"This research explores the predictive capabilities of random forests algorithm on datasets coming from standard experiments on crop management systems in soybeans. This is a secondary analysis of a dataset from a project evaluating the relationship of cover crop systems to soybean yield prediction. The purpose of this paper is to compare a random forest algorithm to standard statistical techniques such as linear regression on a clean information rich agronomic experiment. The main findings include an estimate of the hyperparameters for optimal predictions using random forests, a threshold for data for optimal results and a general description of comparison methodologies for AI based techniques.",titulo,S,"nucleo: soja como cultura-alvo, previsao com ML"
,,ALTA,Satellite-based soybean yield prediction in Argentina: A comparison between panel regression and deep learning methods,2024,Computers and Electronics in Agriculture,18,10.1016/j.compag.2024.108978,• A crop yield predicting model for promoting sustainable production and facilitating local stakeholder decision-making. • LSTM with Attention model can perform well better than panel regression but falls short when trained with small dataset. • Departmental series of peak NDVI images were effective for early soybean y...,"• A crop yield predicting model for promoting sustainable production and facilitating local stakeholder decision-making. • LSTM with Attention model can perform well better than panel regression but falls short when trained with small dataset. • Departmental series of peak NDVI images were effective for early soybean yield prediction. • Deep learning models showed superior generalization, predicting well on new, unseen data. The accurate prediction of soybean yield is vital for global food market stabilization and food security. Recent advancements in remote sensing technology have significantly amplified interest in leveraging satellite-based methods for predicting crop yield. These methods offer in-season yield estimates. By utilizing this timely information, decision-makers can formulate strategic, well-informed choices that preemptively mitigate potential food price hikes, ultimately bolstering food security. While simple regression models have been widely utilized for satellite-based yield prediction, researchers have recently begun to explore the use of deep learning algorithms. This study compares the performance of panel regression and deep learning models for in-season soybean yield prediction at the Department (county-equivalent) level in Argentina. Data sources include the latest soybean land use products and MODIS bi-weekly vegetation index products. Results indicate that deep learning models significantly outperform panel regression. Deep learning Long Short-Term Memory (LSTM) models, which incorporate attention mechanism and a series of peak NDVI images, generate more accurate and time-sensitive predictions. Among competing LSTM models, the one with attention mechanism applied to the entire growing season's NDVI data yields the highest prediction accuracy, with a Root Mean Square Error (RMSE) of 505.78 kg/ha and Normalized Root Mean Square Error (NRMSE) of 0.0726. The LSTM model with attention on the three highest NDVI images attains a satisfactory prediction accuracy (RMSE = 627.28 kg/ha, NRMSE = 0.089) six weeks prior to harvest. This study presents a robust model for predicting crop yields, promoting sustainable production of soybeans and facilitating knowledgeable choices among farmers and policymakers.",titulo,S,"nucleo: soja como cultura-alvo, previsao com ML"
,,ALTA,Coupling Process-Based Crop Model and Extreme Climate Indicators with Machine Learning Can Improve the Predictions and Reduce Uncertainties of Global Soybean Yields,2022,Agriculture,16,10.3390/agriculture12111791,"Soybean is one of the most important agricultural commodities in the world, thus making it important for global food security. However, widely used process-based crop models, such as the GIS-based Environmental Policy Integrated Climate (GEPIC) model, tend to underestimate the impacts of extreme climate events on soybe...","Soybean is one of the most important agricultural commodities in the world, thus making it important for global food security. However, widely used process-based crop models, such as the GIS-based Environmental Policy Integrated Climate (GEPIC) model, tend to underestimate the impacts of extreme climate events on soybean, which brings large uncertainties. This study proposed an approach of hybrid models to constrain such uncertainties by coupling the GEPIC model and extreme climate indicators using machine learning. Subsequently, the key extreme climate indicators for the globe and main soybean producing countries are explored, and future soybean yield changes and variability are analyzed using the proposed hybrid model. The results show the coupled GEPIC and Random Forest (GEPIC+RF) model (R: 0.812, RMSD: 0.716 t/ha and rRMSD: 36.62%) significantly eliminated uncertainties and underestimation of climate extremes from the GEPIC model (R: 0.138, RMSD: 1.401 t/ha and rRMSD: 71.57%) compared to the other five hybrid models (R: 0.365–0.612, RMSD: 0.928–1.021 and rRMSD: 47.48–52.24%) during the historical period. For global soybean yield and those in Brazil and Argentina, low-temperature-related indices are the main restriction factors, whereas drought is the constraining factor in the USA and China, and combined drought–heat disaster in India. The GEPIC model would overestimate soybean yields by 13.40–27.23%. The GEPIC+RF model reduced uncertainty by 28.45–41.83% for the period of 2040–2099. Our results imply that extreme climate events will possibly cause more losses in soybean in the future than we have expected, which would help policymakers prepare for future agriculture risk and food security under climate change.",titulo,S,"nucleo: soja como cultura-alvo, previsao com ML"
,,MEDIA,Satellite Images and Deep Learning Tools for Crop Yield Prediction and Price Forecasting,2021,,15,10.1109/ijcnn52387.2021.9534388,"The ability to predict crop yield is vital for food security worldwide and forecasting crop prices can help farmers avoid price crash. In this work, an investigation of using satellite images and deep learning models to predict crop yields as well as forecasting farmers' prices is conducted. For tractability, dimension...","The ability to predict crop yield is vital for food security worldwide and forecasting crop prices can help farmers avoid price crash. In this work, an investigation of using satellite images and deep learning models to predict crop yields as well as forecasting farmers' prices is conducted. For tractability, dimensionality reduction is achieved by converting the images to histograms representing the pixel frequency. The models tested are LSTM, CNN, CNN-LSTM, CNN-LSTM ensemble as well as a Gaussian Process added to each for enhanced performance. It is found that the proposed ensemble of CNN-LSTMs is the best in predicting the yearly soybean yields in addition to forecasting the daily strawberry yields and prices. It outperforms models suggested in the literature with an improvement of 31% in terms of average Root Mean Square Error (RMSE).",resumo,S,complementar: previsao multicultura com soja entre os alvos
,,ALTA,Estimation of soybean yield based on high-throughput phenotyping and machine learning,2024,Frontiers in Plant Science,15,10.3389/fpls.2024.1395760,"Introduction: Soybeans are an important crop used for food, oil, and feed. However, China's soybean self-sufficiency is highly inadequate, with an annual import volume exceeding 80%. RGB cameras serve as powerful tools for estimating crop yield, and machine learning is a practical method based on various features, prov...","Introduction: Soybeans are an important crop used for food, oil, and feed. However, China's soybean self-sufficiency is highly inadequate, with an annual import volume exceeding 80%. RGB cameras serve as powerful tools for estimating crop yield, and machine learning is a practical method based on various features, providing improved yield predictions. However, selecting different input parameters and models, specifically optimal features and model effects, significantly influences soybean yield prediction. Methods: This study used an RGB camera to capture soybean canopy images from both the side and top perspectives during the R6 stage (pod filling stage) for 240 soybean varieties (a natural population formed by four provinces in China: Sichuan, Yunnan, Chongqing, and Guizhou). From these images, the morphological, color, and textural features of the soybeans were extracted. Subsequently, feature selection was performed on the image parameters using a Pearson correlation coefficient threshold ≥0.5. Five machine learning methods, namely, CatBoost, LightGBM, RF, GBDT, and MLP, were employed to establish soybean yield estimation models based on the individual and combined image parameters from the two perspectives extracted from RGB images. Results: (1) GBDT is the optimal model for predicting soybean yield, with a test set R2 value of 0.82, an RMSE of 1.99 g/plant, and an MAE of 3.12%. (2) The fusion of multiangle and multitype indicators is conducive to improving soybean yield prediction accuracy. Conclusion: Therefore, this combination of parameters extracted from RGB images via machine learning has great potential for estimating soybean yield, providing a theoretical basis and technical support for accelerating the soybean breeding process.",titulo,N,melhoramento genetico / fenotipagem
,,ALTA,&lt;b&gt;Estimating soybean yields with artificial neural networks,2018,Acta Scientiarum Agronomy,14,10.4025/actasciagron.v40i1.35250,"The complexity of the statistical models used to estimate the productivity of many crops, including soybeans, restricts the use of this practice, but an alternative is the use of artificial neural networks (ANNs). This study aimed to estimate soybean productivity based on growth habit, sowing density and agronomic char...","The complexity of the statistical models used to estimate the productivity of many crops, including soybeans, restricts the use of this practice, but an alternative is the use of artificial neural networks (ANNs). This study aimed to estimate soybean productivity based on growth habit, sowing density and agronomic characteristics using an ANN multilayer perceptron (MLP). Agronomic data from experiments conducted during the 2013/2014 soybean harvest in Anápolis, Goiás State, B razil, were used to conduct this study after being normalized to an ANN-compatible range. Then, several ANNs were trained to choose the best-performing one. After training the network, a performance analysis was conducted to select the ANN with a performance most appropriate for the problem, and the selected network had a 98% success rate with training data and a 72% data validation accuracy. The application of the MLP to the data used in the experiment shows that it is possible to estimate soybean productivity based on agronomic characteristics, growth habit and population density through AI.",titulo,S,"nucleo: soja como cultura-alvo, previsao com ML"
,,ALTA,Maize and soybean yield prediction using machine learning methods: a systematic literature review,2025,Discover Agriculture,14,10.1007/s44279-025-00215-6,"Today’s agronomy is data-rich, and machine learning (ML) provides the ability to efficiently predict crop yields, utilizing high-volume data to optimize agricultural decision-making. Numerous ML models are used, yet systemized framework guiding the crop-targeted selection of models, features, accuracy measures, and add...","Today’s agronomy is data-rich, and machine learning (ML) provides the ability to efficiently predict crop yields, utilizing high-volume data to optimize agricultural decision-making. Numerous ML models are used, yet systemized framework guiding the crop-targeted selection of models, features, accuracy measures, and addressing associated challenges is lacking, specifically for soybean and maize, world’s vital crops. Henceforth, this is the first crop-targeted systematic literature review (SLR) performed to retrieve/consolidate the ML techniques and key features utilized in maize and soybean yield prediction research. The study searched four databases (ProQuest, Wiley, Science Direct, and EBSCOhost), producing 1859 articles, which finally reduced to 82 articles following SLR’s inclusion/exclusion criteria. These papers were thoroughly analysed for generating common consensus and future research recommendations. Results revealed the temperature, precipitation, historical crop yield, normalized difference vegetation index (NDVI), and soil pH to be the most utilized ML features for yield prediction research. The Random Forest (RF), Artificial Neural Networks (ANNs), Support Vector Machines (SVMs), and Extreme Gradient Boosting (XG-Boost) were identified as the mostly used ML algorithms. Most often applied deep learning techniques include long short-term memory (LSTM) and convolutional neural networks (CNNs). In the utilized models, the most used performance assessment measures were noted as the coefficient of determination (R 2 ), root absolute error (RAE), root mean square error (RMSE), and mean absolute error (MAE). This SLR also reported major challenges with obtaining high quantity/quality data, model complexity tackling, and incorporating the inclusion of farm management factors in yield prediction process. Altogether, this SLR offers a valuable framework for model selection, feature unification, accuracy measures comparison, model performance assessment, and addressing challenges in ML-based yield prediction research, with an emphasis on maize and soybean.",titulo,N,"revisao de literatura, nao estudo primario"
,,ALTA,Beyond assimilation of leaf area index: Leveraging additional spectral information using machine learning for site-specific soybean yield prediction,2024,Agricultural and Forest Meteorology,14,10.1016/j.agrformet.2024.110022,"Assimilating external observations of crop state in cropping system models is essential for making spatially explicit predictions of crop variables relevant in precision agriculture. Satellite-based leaf area index (LAI) estimates have been the most frequent variable used as a proxy of actual crop growth. However, addi...","Assimilating external observations of crop state in cropping system models is essential for making spatially explicit predictions of crop variables relevant in precision agriculture. Satellite-based leaf area index (LAI) estimates have been the most frequent variable used as a proxy of actual crop growth. However, additional information beyond LAI, like canopy N content, water content, and structure, can be retrieved from satellite observations. Including such variables by data assimilation directly is difficult because many crop models do not have corresponding state variables or the relationship between the observations and the process that regulates crop growth is unclear. Therefore, other approaches are required to include such information. In this study, we investigate the improvement in the predicted yield and feature impact on model outputs by using a hybrid approach that combines observations from Sentinel-1 and 2 time-series with the outputs from a process-based model embedded in a data assimilation framework and uses the Gradient-boosted trees regressor (GBTR) as predictive model. We used two regions with soybean fields: the US (13 K points) and Uruguay (400 K points). We found an advantage when using the GBTR as the predictive model (reduced RRMSE by ∼16%) compared to data assimilation. Adding the vegetation indices had a marginal improvement (reduced RRMSE by ∼1%), while the impact of adding reflectance and backscatter values was negative. The satellite-based features had a very small importance score, while features' impact on prediction was predominantly unclear, explaining the marginal predictive power added by satellite-based features. We found that features from the reproductive stages had the highest importance, while the importance of an index related to drought stress (NMDI) across the growing season provided insights for further improvement of data assimilation methods. However, more studies are required to better disentangle pathways towards further improvement in constraining crop models by ingesting satellite observations.",titulo,S,"nucleo: soja como cultura-alvo, previsao com ML"
,,ALTA,Remote Prediction of Soybean Yield Using UAV-Based Hyperspectral Imaging and Machine Learning Models,2024,AgriEngineering,12,10.3390/agriengineering6030185,"Early soybean yield estimation has become a fundamental tool for market policy and food security. Considering a heterogeneous crop, this study investigates the spatial and spectral variability in soybean canopy reflectance to achieve grain yield estimation. Besides allowing crop mapping, remote sensing data also provid...","Early soybean yield estimation has become a fundamental tool for market policy and food security. Considering a heterogeneous crop, this study investigates the spatial and spectral variability in soybean canopy reflectance to achieve grain yield estimation. Besides allowing crop mapping, remote sensing data also provide spectral evidence that can be used as a priori knowledge to guide sample collection for prediction models. In this context, this study proposes a sampling design method that distributes sample plots based on the spatial and spectral variability in vegetation spectral indices observed in the field. Random forest (RF) and multiple linear regression (MLR) approaches were applied to a set of spectral bands and six vegetation indices to assess their contributions to the soybean yield estimates. Experiments were conducted with a hyperspectral sensor of 25 contiguous spectral bands, ranging from 500 to 900 nm, carried by an unmanned aerial vehicle (UAV) to collect images during the R5 soybean growth stage. The tests showed that spectral indices specially designed from some bands could be adopted instead of using multiple bands with MLR. However, the best result was obtained with RF using spectral bands and the height attribute extracted from the photogrammetric height model. In this case, Pearson’s correlation coefficient was 0.91. The difference between the grain yield productivity estimated with the RF model and the weight collected at harvest was 1.5%, indicating high accuracy for yield prediction.",titulo,N,"escala de parcela (UAV/sensor proximal), nao regional"
,,MEDIA,A Generalized Multimodal Deep Learning Model for Early Crop Yield Prediction,2022,2022 IEEE International Conference on Big Data (Big Data),12,10.1109/bigdata55660.2022.10020917,"Early crop yield prediction is crucial in agriculture for making administrative plans to ensure food security, post harvest management and distribution of a crop. Remote sensing data captured using various satellites provide reliable phenological information for a crop through surface reflectance bands. Other important...","Early crop yield prediction is crucial in agriculture for making administrative plans to ensure food security, post harvest management and distribution of a crop. Remote sensing data captured using various satellites provide reliable phenological information for a crop through surface reflectance bands. Other important factors, affecting crop yield include meteorological and soil. The data which we have used for crop yield prediction is multimodal. It consists of spatiotemporal meteorological (numeric) and surface reflectance bands (satellite image), and temporally static soil (satellite image) data. We effectively utilize this multimodal data to develop the proposed multimodal deep learning model, CropYieldNet. The objective of the paper is to accurately predict crop yield using high resolution data obtained from recently launched satellites such as Landsat8 and Sentinel-2. We used contrastive learning in a supervised setting and data augmentation techniques to overcome the limited historical data available for training deep learning models.We introduce a depth-level selection module for effectively modelling the depth-variant information of soil data. We have also modified our model to perform in-season (early) crop yield prediction which is as accurate as end-season prediction. We evaluate our model for two crops, corn and soybean, on counties in US and districts in India using data from MODIS, Landsat8, and Sentinel-2 satellites. Our extensive experimentation show that our model outperforms competing models. Our experiments also show that CropYieldNet generalizes well when applied on different crops and geographies.",resumo,S,complementar: previsao multicultura com soja entre os alvos
,,ALTA,"A Hybrid Model for Soybean Yield Prediction Integrating Convolutional Neural Networks, Recurrent Neural Networks, and Graph Convolutional Networks",2024,Computation,11,10.3390/computation13010004,"Soybean yield prediction is one of the most critical activities for increasing agricultural productivity and ensuring food security. Traditional models often underestimate yields because of limitations associated with single data sources and simplistic model architectures. These prevent complex, multifaceted factors in...","Soybean yield prediction is one of the most critical activities for increasing agricultural productivity and ensuring food security. Traditional models often underestimate yields because of limitations associated with single data sources and simplistic model architectures. These prevent complex, multifaceted factors influencing crop growth and yield from being captured. In this line, this work fuses multi-source data—satellite imagery, weather data, and soil properties—through the approach of multi-modal fusion using Convolutional Neural Networks and Recurrent Neural Networks. While satellite imagery provides information on spatial data regarding crop health, weather data provides temporal insights, and the soil properties provide important fertility information. Fusing these heterogeneous data sources embeds an overall understanding of yield-determining factors in the model, decreasing the RMSE by 15% and improving R2 by 20% over single-source models. We further push the frontier of feature engineering by using Temporal Convolutional Networks (TCNs) and Graph Convolutional Networks (GCNs) to capture time series trends, geographic and topological information, and pest/disease incidence. TCNs can capture long-range temporal dependencies well, while the GCN model has complex spatial relationships and enhanced the features for making yield predictions. This increases the prediction accuracy by 10% and boosts the F1 score for low-yield area identification by 5%. Additionally, we introduce other improved model architectures: a custom UNet with attention mechanisms, Heterogeneous Graph Neural Networks (HGNNs), and Variational Auto-encoders. The attention mechanism enables more effective spatial feature encoding by focusing on critical image regions, while the HGNN captures interaction patterns that are complex between diverse data types. Finally, VAEs can generate robust feature representation. Such state-of-the-art architectures could then achieve an MAE improvement of 12%, while R2 for yield prediction improves by 25%. In this paper, the state of the art in yield prediction has been advanced due to the employment of multi-source data fusion, sophisticated feature engineering, and advanced neural network architectures. This provides a more accurate and reliable soybean yield forecast. Thus, the fusion of Convolutional Neural Networks with Recurrent Neural Networks and Graph Networks enhances the efficiency of the detection process.",titulo,S,"nucleo: soja como cultura-alvo, previsao com ML"
